commit_sha,filename,maintainability_index,complexity,num_lines,num_functions,num_classes,avg_function_length,avg_num_parameters,nesting_levels,num_comments,duplicated_code_warnings,num_imports,cyclic_dependencies,is_bug,bug_type
39a3bf355574df76df44cededffac96fddb48a04,pandas/tests/io/xml/test_xml.py,"2,7415E+15",119.0,2081.0,85.0,0.0,"4,47059E+15","1,56471E+16",8.0,70.0,0.0,16.0,0.0,0,NameError
e3bf5381fd056d0bbdd775463e3724aab2012e45,Lib/_pyrepl/reader.py,"2,60825E+16",132.0,700.0,37.0,1.0,"6,08108E+15","1,54054E+16",12.0,36.0,0.0,10.0,0.0,0,NameError
5593886ee384893c35565dfa29eaa956ccbe1186,pandas/core/generic.py,0.0,886.0,12942.0,250.0,1.0,6152,2484,11.0,320.0,0.0,61.0,0.0,0,NameError
a5e812d86deb62872f8d514d894a22931fc84217,pandas/core/reshape/pivot.py,"3,00417E+16",139.0,1261.0,14.0,0.0,"8,35714E+15",5.5,12.0,47.0,0.0,12.0,0.0,0,NameError
36a70f7b1e866ef8df32d3ebae08af73b905dc6f,scikits/learn/feature_selection/univariate_selection.py,"5,59761E+16",44.0,315.0,17.0,7.0,"5,17647E+15","2,17647E+15",3.0,20.0,0.0,3.0,0.0,1,NameError
8e9cd7d33a64ffc6a7ab90e4069f4659f9aed6cb,sklearn/tests/test_calibration.py,"2,9346E+16",117.0,1091.0,49.0,4.0,10.0,"1,63265E+16",15.0,122.0,0.0,21.0,0.0,0,NameError
c88b5bcca53140f558249e8972c847fad76172d1,scikits/learn/externals/joblib/test/test_format_stack.py,100.0,4.0,22.0,2.0,1.0,2.0,0.5,0.0,4.0,0.0,2.0,0.0,1,NameError
a6fdb31b6714c9f3c65fefbb3fe388b2b139a75f,Lib/email/_header_value_parser.py,0.0,874.0,3062.0,144.0,52.0,5.75,"1,14583E+16",15.0,207.0,0.0,8.0,0.0,0,NameError
9cd39b16e2655f748f7aa8d20bca4812da00ba70,Lib/test/test_strptime.py,"2,96112E+16",105.0,730.0,59.0,8.0,"5,84746E+16","1,13559E+16",5.0,94.0,0.0,11.0,0.0,1,NameError
6a13450cec5996cc14f722069ef9be150f034e03,pandas/core/tools/datetimes.py,"3,44808E+16",119.0,1269.0,20.0,2.0,7.0,4.8,15.0,62.0,0.0,20.0,0.0,1,NameError
8db3aacc65fc5fc5a8335a53368dd0a9446228a8,sklearn/datasets/_twenty_newsgroups.py,"5,7547E+15",37.0,561.0,6.0,0.0,11.0,0.8333333333333334,12.0,12.0,0.0,16.0,0.0,0,NameError
